time_iso8601,stars_cumulative
2024-07-13 00:00:00+00:00,1
2024-07-25 00:00:00+00:00,2
2024-08-20 00:00:00+00:00,3
2024-09-12 00:00:00+00:00,4
2024-09-30 00:00:00+00:00,5
2024-10-29 00:00:00+00:00,8
2024-10-30 00:00:00+00:00,9
2024-10-31 00:00:00+00:00,10
2024-11-05 00:00:00+00:00,11
2024-11-07 00:00:00+00:00,12
2024-11-08 00:00:00+00:00,13
2024-11-11 00:00:00+00:00,14
2024-11-22 00:00:00+00:00,15
2024-11-28 00:00:00+00:00,17
2024-12-02 00:00:00+00:00,18
2024-12-05 00:00:00+00:00,19
2024-12-23 00:00:00+00:00,20
2024-12-29 00:00:00+00:00,21
2024-12-31 00:00:00+00:00,22
2025-01-03 00:00:00+00:00,23
2025-01-04 00:00:00+00:00,24
2025-01-06 00:00:00+00:00,25
2025-01-09 00:00:00+00:00,26
2025-01-12 00:00:00+00:00,27
2025-01-16 00:00:00+00:00,28
2025-01-23 00:00:00+00:00,29
2025-01-27 00:00:00+00:00,30
2025-01-28 00:00:00+00:00,31
2025-01-30 00:00:00+00:00,33
2025-02-01 00:00:00+00:00,34
2025-02-02 00:00:00+00:00,35
2025-02-03 00:00:00+00:00,36
2025-02-09 00:00:00+00:00,37
2025-02-13 00:00:00+00:00,38
2025-02-15 00:00:00+00:00,39
2025-02-23 00:00:00+00:00,40
2025-03-03 00:00:00+00:00,41
2025-03-06 00:00:00+00:00,42
2025-03-07 00:00:00+00:00,43
2025-03-08 00:00:00+00:00,44
2025-03-10 00:00:00+00:00,45
2025-03-18 00:00:00+00:00,46
2025-03-20 00:00:00+00:00,47
2025-03-21 00:00:00+00:00,48
2025-03-27 00:00:00+00:00,49
2025-04-01 00:00:00+00:00,50
2025-04-02 00:00:00+00:00,51
2025-04-03 00:00:00+00:00,52
2025-04-10 00:00:00+00:00,53
2025-04-18 00:00:00+00:00,54
2025-04-29 00:00:00+00:00,55
2025-05-03 00:00:00+00:00,59
2025-05-07 00:00:00+00:00,61
2025-05-15 00:00:00+00:00,62
2025-05-17 00:00:00+00:00,64
2025-05-19 00:00:00+00:00,66
2025-05-20 00:00:00+00:00,68
2025-05-22 00:00:00+00:00,69
2025-05-26 00:00:00+00:00,70
2025-05-27 00:00:00+00:00,71
2025-06-04 00:00:00+00:00,72
2025-06-06 00:00:00+00:00,73
2025-06-20 00:00:00+00:00,74
2025-07-12 00:00:00+00:00,75
2025-07-13 00:00:00+00:00,76
2025-07-15 00:00:00+00:00,77
2025-07-16 00:00:00+00:00,79
2025-07-17 00:00:00+00:00,81
2025-07-18 00:00:00+00:00,82
2025-07-19 00:00:00+00:00,83
2025-07-20 00:00:00+00:00,84
2025-07-21 00:00:00+00:00,86
2025-07-24 00:00:00+00:00,87
2025-07-26 00:00:00+00:00,88
2025-07-27 00:00:00+00:00,89
2025-07-28 00:00:00+00:00,90
2025-07-29 00:00:00+00:00,92
2025-07-30 00:00:00+00:00,93
2025-07-31 00:00:00+00:00,95
2025-08-05 00:00:00+00:00,96
2025-08-07 00:00:00+00:00,97
2025-08-11 00:00:00+00:00,98
2025-08-21 00:00:00+00:00,99
2025-09-02 00:00:00+00:00,100
2025-09-06 00:00:00+00:00,101
2025-09-14 00:00:00+00:00,102
2025-09-20 00:00:00+00:00,103
2025-09-27 00:00:00+00:00,104
2025-09-28 00:00:00+00:00,105
2025-10-07 00:00:00+00:00,106
2025-10-08 00:00:00+00:00,107
2025-10-12 00:00:00+00:00,108
2025-10-22 00:00:00+00:00,109
2025-10-28 00:00:00+00:00,110
2025-11-02 00:00:00+00:00,111
2025-11-03 00:00:00+00:00,113
2025-11-12 00:00:00+00:00,114
2025-11-14 00:00:00+00:00,115
